x,Apple,Google,Amazon,Microsoft,IBM,Facebook
2015-04-23,129.669998,557.460022,389.98999,43.34,170.240005,82.410004
2015-04-22,128.619995,549.179993,389.799988,42.990002,165.360001,84.629997
2015-04-21,126.910004,542.919983,391.179993,42.639999,164.259995,83.620003
2015-04-20,127.599998,544.530029,389.51001,42.91,166.160004,83.089996
2015-04-17,124.75,532.73999,375.559998,41.619999,160.669998,80.779999
2015-04-16,126.169998,543.52002,386.040009,42.16,163.130005,82.309998
2015-04-15,126.779999,541.039978,383.450012,42.259998,164.130005,82.709999
2015-04-14,126.300003,539.780029,385.109985,41.650002,162.300003,83.519997
2015-04-13,126.849998,548.640015,382.359985,41.759998,162.380005,83.010002
2015-04-10,127.099998,548.539978,382.649994,41.720001,162.860001,82.040001
2015-04-09,126.559998,548.02002,383.540009,41.48,162.339996,82.169998
2015-04-08,125.599998,548.840027,381.200012,41.419998,161.850006,82.279999
2015-04-07,126.010002,544.859985,374.410004,41.529999,162.070007,82.32
2015-04-06,127.349998,543.950012,377.040009,41.549999,162.039993,82.440002
2015-04-02,125.32,541.309998,372.25,40.290001,160.449997,81.559998
2015-04-01,124.25,549.48999,370.26001,40.720001,159.179993,81.669998
2015-03-31,124.43,554.700012,372.100006,40.66,160.5,82.220001
2015-03-30,126.370003,561.140015,374.589996,40.959999,162.669998,83.199997
2015-03-27,123.25,557.549988,370.559998,40.970001,160.399994,83.300003
2015-03-26,124.239998,563.640015,367.350006,41.209999,160.589996,83.010002
2015-03-25,123.379997,567,370.959991,41.459999,159.199997,82.919998
2015-03-24,126.690002,577.539978,374.089996,42.900002,163,85.309998
2015-03-23,127.209999,565.369995,375.109985,42.860001,164.630005,84.43
2015-03-20,125.900002,564.950012,378.48999,42.880001,162.880005,83.800003
2015-03-19,127.5,563.669983,373.23999,42.290001,159.809998,82.75
2015-03-18,128.470001,566.159973,375.140015,42.5,159.809998,80.910004
2015-03-17,127.040001,557.609985,371.920013,41.700001,156.960007,79.360001
2015-03-16,124.949997,561.640015,373.350006,41.560001,157.080002,78.07
2015-03-13,123.589996,553,370.579987,41.380001,154.279999,78.050003
2015-03-12,124.449997,561.169983,374.23999,41.02,157.979996,78.93
2015-03-11,122.239998,555.690002,366.369995,41.98,156.800003,77.57
2015-03-10,124.510002,559.849976,369.51001,42.029999,157.809998,77.550003
2015-03-09,127.139999,574.099976,378.559998,42.849998,160.770004,79.440002
2015-03-06,126.599998,572.900024,380.089996,42.360001,158.5,80.010002
2015-03-05,126.410004,581.429993,387.829987,43.110001,161.179993,81.209999
2015-03-04,128.539993,578.330017,382.720001,43.060001,159.419998,80.900002
2015-03-03,129.360001,578.789978,384.609985,43.279999,161.029999,79.599998
2015-03-02,129.089996,575.02002,385.660004,43.880001,160.479996,79.75
2015-02-27,128.460007,562.630005,380.160004,43.849998,161.940002,78.970001
2015-02-26,130.419998,559.289978,384.799988,44.060001,160.869995,80.410004
2015-02-25,128.789993,547.330017,385.369995,43.990002,162.809998,79.559998
2015-02-24,132.169998,538.650024,378.589996,44.09,164.830002,78.449997
2015-02-23,133,535,380.140015,44.150002,162.910004,78.839996
2015-02-20,129.5,541.799988,383.660004,43.860001,163.649994,79.900002
2015-02-19,128.449997,546.450012,379,43.5,163.889999,79.419998
2015-02-18,128.720001,542.650024,373.369995,43.529999,162.190002,76.709999
2015-02-17,127.830002,545.01001,375.429993,43.580002,160.960007,75.599998
2015-02-13,127.080002,551.159973,381.829987,43.869999,160.399994,75.739998
2015-02-12,126.459999,546.01001,377.170013,43.09,158.520004,76.230003
2015-02-11,124.879997,538,375.140015,42.380001,158.199997,76.510002
2015-02-10,122.019997,540.159973,373,42.599998,158.559998,75.190002
2015-02-09,119.720001,529.280029,370.559998,42.360001,155.75,74.440002
2015-02-06,118.93,533.880005,374.279999,42.41,156.720001,74.470001
2015-02-05,119.940002,529.830017,373.890015,42.450001,157.910004,75.610001
2015-02-04,119.559998,526.099976,364.75,41.84,156.960007,75.629997
2015-02-03,118.650002,533.299988,363.549988,41.599998,158.470001,75.400002
2015-02-02,118.629997,532.200012,364.470001,41.279999,154.660004,74.989998
2015-01-30,117.160004,537.549988,354.529999,40.400002,153.309998,75.910004
2015-01-29,118.900002,513.22998,311.779999,42.009998,155.479996,78
2015-01-28,115.309998,512.429993,303.910004,41.189999,151.550003,76.239998
2015-01-27,109.139999,521.190002,306.75,42.66,153.669998,75.779999
2015-01-26,113.099998,536.719971,309.660004,47.009998,156.360001,77.5
2015-01-23,112.980003,541.950012,312.390015,47.18,155.869995,77.830002
2015-01-22,112.400002,537.299988,310.320007,47.130001,155.389999,77.650002
2015-01-21,109.550003,520.390015,297.25,45.919998,152.089996,76.739998
2015-01-20,108.720001,509.940002,289.440002,46.389999,156.949997,76.239998
2015-01-16,105.989998,510.459991,290.73999,46.240002,157.139999,75.18
2015-01-15,106.82,504.01001,286.950012,45.48,154.570007,74.050003
2015-01-14,109.800003,505.929993,293.269989,45.959999,155.800003,76.279999
2015-01-13,110.220001,501.799988,294.73999,46.360001,156.809998,76.449997
2015-01-12,109.25,497.059998,291.410004,46.599998,156.440002,76.720001
2015-01-09,112.010002,500.720001,296.929993,47.189999,159.110001,77.739998
2015-01-08,111.889999,506.910004,300.459991,47.59,158.419998,78.18
2015-01-07,107.75,505.149994,298.420013,46.23,155.050003,76.150002
2015-01-06,106.260002,506.640015,295.290009,45.650002,156.070007,76.150002
2015-01-05,106.25,519.460022,302.190002,46.330002,159.509995,77.190002
2015-01-02,109.330002,529.549988,308.519989,46.759998,162.059998,78.449997
