name,x,y
GO,2021-05-16,70
GO,2021-05-23,52
GO,2021-05-30,62
GO,2021-06-06,68
GO,2021-06-13,58
GO,2021-06-20,64
GO,2021-06-27,24
MA,2020-12-27,8
MA,2021-01-03,25
MA,2021-01-10,27
MA,2021-01-17,20
MA,2021-01-24,17
MA,2021-01-31,20
MA,2021-02-07,21
MA,2021-02-14,13
MA,2021-02-21,22
MA,2021-02-28,24
MA,2021-03-07,25
MA,2021-03-14,15
MA,2021-03-21,15
MA,2021-03-28,18
MA,2021-04-04,18
MA,2021-04-11,15
MA,2021-04-18,16
MA,2021-04-25,17
MA,2021-05-02,34
MA,2021-05-09,21
MA,2021-05-16,20
MA,2021-05-23,15
MA,2021-05-30,25
MA,2021-06-06,25
MA,2021-06-13,17
MA,2021-06-20,27
MA,2021-06-27,10
MG,2020-12-27,85
MG,2021-01-03,175
MG,2021-01-10,171
MG,2021-01-17,147
MG,2021-01-24,156
MG,2021-01-31,189
MG,2021-02-07,177
MG,2021-02-14,151
MG,2021-02-21,135
MG,2021-02-28,154
MG,2021-03-07,148
MG,2021-03-14,127
MG,2021-03-21,120
MG,2021-03-28,151
MG,2021-04-04,111
MG,2021-04-11,151
MG,2021-04-18,149
MG,2021-04-25,135
MG,2021-05-02,153
MG,2021-05-09,164
MG,2021-05-16,154
MG,2021-05-23,145
MG,2021-05-30,166
MG,2021-06-06,172
MG,2021-06-13,147
MG,2021-06-20,167
MG,2021-06-27,53
MS,2020-12-27,15
MS,2021-01-03,28
MS,2021-01-10,33
MS,2021-01-17,27
MS,2021-01-24,19
MS,2021-01-31,32
MS,2021-02-07,35
MS,2021-02-14,32
MS,2021-02-21,38
MS,2021-02-28,35
MS,2021-03-07,29
MS,2021-03-14,27
MS,2021-03-21,25
MS,2021-03-28,30
MS,2021-04-04,25
MS,2021-04-11,24
MS,2021-04-18,31
MS,2021-04-25,33
MS,2021-05-02,32
MS,2021-05-09,32
MS,2021-05-16,24
MS,2021-05-23,25
MS,2021-05-30,30
MS,2021-06-06,27
MS,2021-06-13,20
MS,2021-06-20,32
MS,2021-06-27,14
MT,2020-12-27,17
MT,2021-01-03,29
MT,2021-01-10,36
MT,2021-01-17,26
MT,2021-01-24,42
MT,2021-01-31,37
MT,2021-02-07,35
MT,2021-02-14,45
MT,2021-02-21,44
MT,2021-02-28,46
MT,2021-03-07,52
MT,2021-03-14,43
MT,2021-03-21,45
MT,2021-03-28,37
MT,2021-04-04,45
MT,2021-04-11,42
MT,2021-04-18,39
MT,2021-04-25,45
MT,2021-05-02,44
MT,2021-05-09,54
MT,2021-05-16,49
MT,2021-05-23,37
MT,2021-05-30,44
MT,2021-06-06,40
MT,2021-06-13,36
MT,2021-06-20,38
MT,2021-06-27,17
PA,2020-12-27,11
PA,2021-01-03,18
PA,2021-01-10,17
PA,2021-01-17,10
PA,2021-01-24,18
PA,2021-01-31,9
PA,2021-02-07,17
PA,2021-02-14,16
PA,2021-02-21,13
PA,2021-02-28,16
PA,2021-03-07,16
PA,2021-03-14,13
PA,2021-03-21,16
PA,2021-03-28,14
PA,2021-04-04,17
PA,2021-04-11,22
PA,2021-04-18,11
PA,2021-04-25,11
PA,2021-05-02,13
PA,2021-05-09,19
PA,2021-05-16,16
PA,2021-05-23,24
PA,2021-05-30,22
PA,2021-06-06,19
PA,2021-06-13,7
PA,2021-06-20,11
PA,2021-06-27,9
PB,2020-12-27,6
PB,2021-01-03,29
PB,2021-01-10,28
PB,2021-01-17,30
PB,2021-01-24,33
PB,2021-01-31,41
PB,2021-02-07,28
PB,2021-02-14,31
PB,2021-02-21,19
PB,2021-02-28,30
PB,2021-03-07,21
PB,2021-03-14,22
PB,2021-03-21,20
PB,2021-03-28,24
PB,2021-04-04,28
PB,2021-04-11,24
PB,2021-04-18,30
PB,2021-04-25,26
PB,2021-05-02,22
PB,2021-05-09,30
PB,2021-05-16,31
PB,2021-05-23,27
PB,2021-05-30,20
PB,2021-06-06,21
PB,2021-06-13,25
